"","country","year","pop","continent","lifeExp","gdpPercap"
"1","Afghanistan",1952,8425333,"Asia",28.801,779.4453145
"10","Afghanistan",1997,22227415,"Asia",41.763,635.341351
"13","Albania",1952,1282697,"Europe",55.23,1601.056136
"22","Albania",1997,3428038,"Europe",72.95,3193.054604
"25","Algeria",1952,9279525,"Africa",43.077,2449.008185
"34","Algeria",1997,29072015,"Africa",69.152,4797.295051
"37","Angola",1952,4232095,"Africa",30.015,3520.610273
"46","Angola",1997,9875024,"Africa",40.963,2277.140884
"49","Argentina",1952,17876956,"Americas",62.485,5911.315053
"58","Argentina",1997,36203463,"Americas",73.275,10967.28195
"61","Australia",1952,8691212,"Oceania",69.12,10039.59564
"70","Australia",1997,18565243,"Oceania",78.83,26997.93657
"73","Austria",1952,6927772,"Europe",66.8,6137.076492
"82","Austria",1997,8069876,"Europe",77.51,29095.92066
"85","Bahrain",1952,120447,"Asia",50.939,9867.084765
"94","Bahrain",1997,598561,"Asia",73.925,20292.01679
"97","Bangladesh",1952,46886859,"Asia",37.484,684.2441716
"106","Bangladesh",1997,123315288,"Asia",59.412,972.7700352
"109","Belgium",1952,8730405,"Europe",68,8343.105127
"118","Belgium",1997,10199787,"Europe",77.53,27561.19663
"121","Benin",1952,1738315,"Africa",38.223,1062.7522
"130","Benin",1997,6066080,"Africa",54.777,1232.975292
"133","Bolivia",1952,2883315,"Americas",40.414,2677.326347
"142","Bolivia",1997,7693188,"Americas",62.05,3326.143191
"145","Bosnia and Herzegovina",1952,2791000,"Europe",53.82,973.5331948
"154","Bosnia and Herzegovina",1997,3607000,"Europe",73.244,4766.355904
"157","Botswana",1952,442308,"Africa",47.622,851.2411407
"166","Botswana",1997,1536536,"Africa",52.556,8647.142313
"169","Brazil",1952,56602560,"Americas",50.917,2108.944355
"178","Brazil",1997,168546719,"Americas",69.388,7957.980824
"181","Bulgaria",1952,7274900,"Europe",59.6,2444.286648
"190","Bulgaria",1997,8066057,"Europe",70.32,5970.38876
"193","Burkina Faso",1952,4469979,"Africa",31.975,543.2552413
"202","Burkina Faso",1997,10352843,"Africa",50.324,946.2949618
"205","Burundi",1952,2445618,"Africa",39.031,339.2964587
"214","Burundi",1997,6121610,"Africa",45.326,463.1151478
